,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,PERIOD,GAME_WON
483,0022301062,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,7.000000:59,5,7,0.714,1,3,0.333,1,1,1.0,0,0,0,1,0,0,0,0,12,10.0,3,True
484,0022301062,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,6.000000:34,1,4,0.25,1,3,0.333,0,0,0.0,0,0,0,0,0,0,0,0,3,-3.0,4,True
485,0022301085,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,8.000000:20,2,4,0.5,1,1,1.0,0,0,0.0,0,1,1,2,0,0,1,0,5,-5.0,1,True
486,0022301085,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,7.000000:10,3,5,0.6,1,3,0.333,0,0,0.0,0,0,0,1,0,0,1,1,7,1.0,2,True
487,0022301085,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,7.000000:42,3,6,0.5,3,6,0.5,0,0,0.0,0,0,0,3,0,0,0,0,9,17.0,3,True
488,0022301085,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,9.000000:20,4,8,0.5,2,5,0.4,2,2,1.0,0,0,0,2,0,0,2,0,12,-1.0,4,True
489,0022301097,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,9.000000:05,1,4,0.25,1,2,0.5,2,2,1.0,0,2,2,2,0,0,1,0,5,-11.0,1,False
490,0022301097,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,6.000000:49,2,5,0.4,2,4,0.5,0,0,0.0,0,1,1,1,0,0,0,0,6,0.0,2,False
491,0022301097,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,8.000000:57,1,4,0.25,0,1,0.0,1,2,0.5,0,1,1,0,1,0,0,0,3,-2.0,3,False
492,0022301097,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,10.000000:34,5,10,0.5,2,7,0.286,2,2,1.0,1,1,2,2,0,0,1,2,14,8.0,4,False
493,0022301113,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,8.000000:07,2,3,0.667,1,1,1.0,0,0,0.0,0,1,1,2,0,0,0,0,5,14.0,1,True
494,0022301113,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,8.000000:17,3,5,0.6,1,3,0.333,0,0,0.0,0,4,4,1,0,0,3,1,7,6.0,2,True
495,0022301113,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,8.000000:38,2,2,1.0,0,0,0.0,5,5,1.0,0,0,0,1,0,0,0,1,9,5.0,3,True
496,0022301113,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,5.000000:38,2,4,0.5,0,2,0.0,4,4,1.0,0,1,1,2,0,0,0,0,8,4.0,4,True
497,0022301155,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,7.000000:59,2,3,0.667,1,1,1.0,0,1,0.0,0,2,2,1,0,1,0,0,5,4.0,1,True
498,0022301155,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,8.000000:32,2,2,1.0,2,2,1.0,0,0,0.0,0,1,1,2,0,1,0,0,6,6.0,2,True
499,0022301155,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,7.000000:37,1,1,1.0,1,1,1.0,3,3,1.0,0,2,2,4,1,0,1,0,6,-5.0,3,True
500,0022301155,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,8.000000:11,2,3,0.667,2,2,1.0,0,0,0.0,0,2,2,1,0,0,0,2,6,8.0,4,True
501,0022301169,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,9.000000:24,3,9,0.333,2,6,0.333,0,0,0.0,0,3,3,1,0,1,0,0,8,-1.0,1,True
502,0022301169,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,8.000000:14,1,3,0.333,1,3,0.333,0,0,0.0,0,1,1,0,0,0,0,0,3,0.0,2,True
503,0022301169,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,8.000000:11,1,5,0.2,0,4,0.0,1,1,1.0,0,1,1,4,0,0,1,0,3,-3.0,3,True
504,0022301169,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,10.000000:33,3,5,0.6,2,3,0.667,0,0,0.0,0,2,2,3,1,1,1,0,8,11.0,4,True
505,0022301182,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,8.000000:01,2,4,0.5,1,2,0.5,0,0,0.0,0,0,0,1,1,0,1,1,5,11.0,1,False
506,0022301182,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,7.000000:39,4,6,0.667,2,2,1.0,0,0,0.0,0,1,1,0,0,0,4,1,10,-17.0,2,False
507,0022301182,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,8.000000:47,0,5,0.0,0,3,0.0,2,2,1.0,0,1,1,3,0,0,0,0,2,0.0,3,False
508,0022301182,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,7.000000:57,6,8,0.75,4,6,0.667,0,0,0.0,0,2,2,1,0,0,2,0,16,-2.0,4,False
509,0022301214,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,7.000000:57,1,4,0.25,1,3,0.333,1,2,0.5,0,0,0,0,0,0,2,1,4,-4.0,1,True
510,0022301214,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,7.000000:58,0,4,0.0,0,3,0.0,5,5,1.0,0,1,1,1,0,0,0,1,5,2.0,2,True
