home_team,away_team,ticket_price,date,day_of_week,time,location,url,game_type,duplicate
Atlanta Dream,Dallas Wings,155.0,2025-08-29,Friday,19:30,"Gateway Center Arena at College Park ·  ·  · College Park, GA",/atlanta-dream-tickets/wnba/2025-08-29-7-30-pm/17290146,regular_season,
Golden State Valkyries,Washington Mystics,33.0,2025-08-30,Saturday,17:30,"Chase Center ·  ·  · San Francisco, CA",/golden-state-valkyries-tickets/wnba/2025-08-30-5-30-pm/17290323,regular_season,
Seattle Storm,Chicago Sky,23.0,2025-08-30,Saturday,18:00,"Climate Pledge Arena ·  ·  · Seattle, WA",/seattle-storm-tickets/wnba/2025-08-30-6-pm/17290072,regular_season,
Phoenix Mercury,New York Liberty,20.0,2025-08-30,Saturday,19:00,"PHX Arena ·  ·  · Phoenix, AZ",/phoenix-mercury-tickets/wnba/2025-08-30-7-pm/17290071,regular_season,
Connecticut Sun,Minnesota Lynx,18.0,2025-08-30,Saturday,19:00,"Mohegan Sun Arena ·  ·  · Uncasville, CT",/connecticut-sun-tickets/wnba/2025-08-30-7-pm/17290237,regular_season,
Los Angeles Sparks,Washington Mystics,28.0,2025-08-31,Sunday,17:00,"Crypto.com Arena ·  ·  · Los Angeles, CA",/los-angeles-sparks-tickets/wnba/2025-08-31-5-pm/17290075,regular_season,
Golden State Valkyries,Indiana Fever,154.0,2025-08-31,Sunday,17:30,"Chase Center ·  ·  · San Francisco, CA",/golden-state-valkyries-tickets/wnba/2025-08-31-5-30-pm/17290325,regular_season,
Connecticut Sun,Atlanta Dream,14.0,2025-09-01,Monday,13:00,"Mohegan Sun Arena ·  ·  · Uncasville, CT",/connecticut-sun-tickets/wnba/2025-09-01-1-pm/17290238,regular_season,
Minnesota Lynx,Dallas Wings,136.0,2025-09-01,Monday,19:00,"Target Center ·  ·  · Minneapolis, MN",/minnesota-lynx-tickets/wnba/2025-09-01-7-pm/17290076,regular_season,
Seattle Storm,Los Angeles Sparks,15.0,2025-09-01,Monday,19:00,"Climate Pledge Arena ·  ·  · Seattle, WA",/seattle-storm-tickets/wnba/2025-09-01-7-pm/17290079,regular_season,
Golden State Valkyries,New York Liberty,47.0,2025-09-02,Tuesday,19:00,"Chase Center ·  ·  · San Francisco, CA",/golden-state-valkyries-tickets/wnba/2025-09-02-7-pm/17290326,regular_season,
Phoenix Mercury,Indiana Fever,51.0,2025-09-02,Tuesday,19:00,"PHX Arena ·  ·  · Phoenix, AZ",/phoenix-mercury-tickets/wnba/2025-09-02-7-pm/17290080,regular_season,
Chicago Sky,Connecticut Sun,41.0,2025-09-03,Wednesday,19:00,"Wintrust Arena ·  ·  · Chicago, IL",/chicago-sky-tickets/wnba/2025-09-03-7-pm/17290196,regular_season,
Atlanta Dream,Los Angeles Sparks,33.0,2025-09-03,Wednesday,19:30,"Gateway Center Arena at College Park ·  ·  · College Park, GA",/atlanta-dream-tickets/wnba/2025-09-03-7-30-pm/17290151,regular_season,
Las Vegas Aces,Minnesota Lynx,10.0,2025-09-04,Thursday,19:00,"T-Mobile Arena ·  ·  · Las Vegas, NV",/las-vegas-aces-tickets/wnba/2025-09-04-7-pm/17290414,regular_season,
Golden State Valkyries,Dallas Wings,39.0,2025-09-04,Thursday,19:00,"Chase Center ·  ·  · San Francisco, CA",/golden-state-valkyries-tickets/wnba/2025-09-04-7-pm/17290328,regular_season,
Washington Mystics,Phoenix Mercury,44.0,2025-09-04,Thursday,19:30,"CareFirst Arena ·  ·  · Washington, DC",/washington-mystics-tickets/wnba/2025-09-04-7-30-pm/17290083,regular_season,
Seattle Storm,New York Liberty,21.0,2025-09-05,Friday,19:00,"Climate Pledge Arena ·  ·  · Seattle, WA",/seattle-storm-tickets/wnba/2025-09-05-7-pm/17290084,regular_season,
Atlanta Dream,Los Angeles Sparks,41.0,2025-09-05,Friday,19:30,"Gateway Center Arena at College Park ·  ·  · College Park, GA",/atlanta-dream-tickets/wnba/2025-09-05-7-30-pm/17290152,regular_season,
Indiana Fever,Chicago Sky,47.0,2025-09-05,Friday,19:30,"Gainbridge Fieldhouse ·  ·  · Indianapolis, IN",/indiana-fever-tickets/wnba/2025-09-05-7-30-pm/17290373,regular_season,
Connecticut Sun,Phoenix Mercury,8.0,2025-09-06,Saturday,13:00,"Mohegan Sun Arena ·  ·  · Uncasville, CT",/connecticut-sun-tickets/wnba/2025-09-06-1-pm/17290239,regular_season,
Golden State Valkyries,Minnesota Lynx,40.0,2025-09-06,Saturday,17:30,"Chase Center ·  ·  · San Francisco, CA",/golden-state-valkyries-tickets/wnba/2025-09-06-5-30-pm/17290331,regular_season,
Washington Mystics,Indiana Fever,128.0,2025-09-07,Sunday,15:00,"CFG Bank Arena ·  ·  · Baltimore, MD",/washington-mystics-tickets/wnba/2025-09-07-3-pm/17290088,regular_season,
Los Angeles Sparks,Dallas Wings,55.0,2025-09-07,Sunday,15:00,"Crypto.com Arena ·  ·  · Los Angeles, CA",/los-angeles-sparks-tickets/wnba/2025-09-07-3-pm/17290086,regular_season,
Las Vegas Aces,Chicago Sky,20.0,2025-09-07,Sunday,18:00,"T-Mobile Arena ·  ·  · Las Vegas, NV",/las-vegas-aces-tickets/wnba/2025-09-07-6-pm/17290417,regular_season,
Atlanta Dream,Connecticut Sun,45.0,2025-09-08,Monday,19:30,"Gateway Center Arena at College Park ·  ·  · College Park, GA",/atlanta-dream-tickets/wnba/2025-09-08-7-30-pm/17290155,regular_season,
Las Vegas Aces,Chicago Sky,16.0,2025-09-09,Tuesday,19:00,"T-Mobile Arena ·  ·  · Las Vegas, NV",/las-vegas-aces-tickets/wnba/2025-09-09-7-pm/17290419,regular_season,
New York Liberty,Washington Mystics,16.0,2025-09-09,Tuesday,19:00,"Barclays Center ·  ·  · Brooklyn, NY",/new-york-liberty-tickets/wnba/2025-09-09-7-pm/17290091,regular_season,
Seattle Storm,Golden State Valkyries,13.0,2025-09-09,Tuesday,19:00,"Climate Pledge Arena ·  ·  · Seattle, WA",/seattle-storm-tickets/wnba/2025-09-09-7-pm/17290095,regular_season,
Phoenix Mercury,Los Angeles Sparks,21.0,2025-09-09,Tuesday,19:00,"PHX Arena ·  ·  · Phoenix, AZ",/phoenix-mercury-tickets/wnba/2025-09-09-7-pm/17290092,regular_season,
Indiana Fever,Minnesota Lynx,15.0,2025-09-09,Tuesday,19:30,"Gainbridge Fieldhouse ·  ·  · Indianapolis, IN",/indiana-fever-tickets/wnba/2025-09-09-7-30-pm/17290374,regular_season,
Connecticut Sun,Atlanta Dream,15.0,2025-09-10,Wednesday,19:00,"Mohegan Sun Arena ·  ·  · Uncasville, CT",/connecticut-sun-tickets/wnba/2025-09-10-7-pm/17290242,regular_season,
Chicago Sky,New York Liberty,47.0,2025-09-11,Thursday,19:00,"Wintrust Arena ·  ·  · Chicago, IL",/chicago-sky-tickets/wnba/2025-09-11-7-pm/17290199,regular_season,
Dallas Wings,Phoenix Mercury,63.0,2025-09-11,Thursday,19:00,"College Park Center ·  ·  · Arlington, TX",/dallas-wings-tickets/wnba/2025-09-11-7-pm/17290286,regular_season,
Minnesota Lynx,Golden State Valkyries,132.0,2025-09-11,Thursday,19:00,"Target Center ·  ·  · Minneapolis, MN",/minnesota-lynx-tickets/wnba/2025-09-11-7-pm/17290098,regular_season,
Los Angeles Sparks,Las Vegas Aces,38.0,2025-09-11,Thursday,19:00,"Crypto.com Arena ·  ·  · Los Angeles, CA",/los-angeles-sparks-tickets/wnba/2025-09-11-7-pm/17290097,regular_season,
