Player,2025-26
Jake LaRavia,"$6,000,000"
Cam Thomas,"$6,837,779"
Cason Wallace,"$5,820,240"
Cody Williams,"$5,742,480"
Cedric Coward,"$5,715,120"
D'Angelo Russell,"$5,685,000"
Al Horford,"$5,685,000"
Tari Eason,"$5,675,766"
Haywood Highsmith,"$6,443,984"
Nicolas Batum,"$5,601,600"
Jett Howard,"$5,529,720"
Guerschon Yabusele,"$5,500,000"
Matas Buzelis,"$5,455,560"
Noa Essengue,"$5,429,520"
Kris Dunn,"$5,426,400"
Dario Šarić,"$5,426,400"
Dalen Terry,"$5,399,118"
Bradley Beal,"$24,737,010"
Paul Reed,"$5,335,894"
Dereck Lively II,"$5,253,360"
Nikola Topić,"$5,182,920"
Derik Queen,"$5,157,960"
Kevin Porter Jr.,"$5,134,000"
Marcus Smart,"$19,920,855"
Andre Drummond,"$5,000,000"
Moritz Wagner,"$5,000,000"
Nick Richards,"$5,000,000"
Gradey Dick,"$4,990,560"
Malaki Branham,"$4,962,033"
Devin Carter,"$4,923,720"
Christian Braun,"$4,921,797"
Carter Bryant,"$4,900,320"
Walker Kessler,"$4,878,938"
Jordan Hawkins,"$4,741,320"
Bub Carrington,"$4,677,600"
Thomas Sorber,"$4,655,040"
Kobe Bufkin,"$5,480,297"
Jose Alvarado,"$4,500,000"
Nikola Jović,"$4,445,417"
Kel'el Ware,"$4,443,360"
Yang Hansen,"$4,422,360"
Peyton Watson,"$4,356,476"
Miles McBride,"$4,333,333"
Keyonte George,"$4,278,960"
Jared McCain,"$4,221,360"
Joan Beringer,"$4,201,080"
Kevin Love,"$4,150,000"
Dalton Knecht,"$4,010,160"
Ryan Rollins,"$4,000,000"
Dwight Powell,"$4,000,000"
Walter Clayton,"$3,991,320"
Jaime Jaquez Jr.,"$3,861,600"
Nolan Traoré,"$3,811,560"
Daniss Jenkins,"$3,809,524"
Tristan Da Silva,"$3,809,520"
Cole Anthony,"$5,996,274"
Gary Trent Jr.,"$3,697,105"
Brandin Podziemski,"$3,687,960"
Svi Mykhailiuk,"$3,675,000"
Kasparas Jakučionis,"$3,658,800"
Ja'Kobe Walter,"$3,638,160"
Gary Harris,"$3,634,153"
Cam Whitmore,"$3,539,760"
Will Riley,"$3,512,520"
Jaylon Tyson,"$3,492,480"
Jaxson Hayes,"$3,449,323"
Dominick Barlow,"$3,415,000"
Noah Clowney,"$3,398,640"
Drake Powell,"$3,372,240"
Yves Missi,"$3,353,040"
Blake Wesley,"$5,643,732"
Taurean Prince,"$3,303,774"
Dariq Whitehead,"$3,262,560"
Asa Newell,"$3,237,480"
DaRon Holmes,"$3,218,760"
Kris Murray,"$3,132,000"
Nique Clifford,"$3,108,120"
Nassir Little,"$3,107,143"
AJ Johnson,"$3,090,480"
De'Anthony Melton,"$3,080,921"
Kyle Filipowski,"$3,000,000"
Ajay Mitchell,"$3,000,000"
Julian Champagnie,"$3,000,000"
Jase Richardson,"$2,983,320"
Kyshawn George,"$2,966,760"
Tony Bradley,"$3,204,816"
Marcus Sasser,"$2,886,720"
Ben Saraf,"$2,884,560"
Pacôme Dadiet,"$2,847,600"
Danny Wolf,"$2,801,280"
Ben Sheppard,"$2,790,720"
Hugo González,"$2,783,880"
Liam McNeeley,"$2,763,960"
Dillon Jones,"$2,753,280"
Yanic Konan Niederhäuser,"$2,743,800"
Nick Smith Jr.,"$2,710,680"
Brice Sensabaugh,"$2,693,760"
Julian Strawther,"$2,674,200"
Terrence Shannon Jr.,"$2,674,080"
Ryan Dunn,"$2,657,760"
Kobe Brown,"$2,654,880"
Isaiah Collier,"$2,638,200"
Baylor Scheierman,"$2,619,000"
Xavier Tillman Sr.,"$2,546,675"
Cam Spencer,"$2,537,989"
Luka Garza,"$2,461,463"
Sandro Mamukelashvili,"$2,461,463"
Trendon Watford,"$2,461,463"
Jericho Sims,"$2,461,463"
Dru Smith,"$2,378,870"
Josh Minott,"$2,378,870"
Justin Champagnie,"$2,349,578"
Jordan Goodwin,"$2,349,578"
Jay Huff,"$2,349,578"
Keon Johnson,"$2,349,578"
Vít Krejčí,"$2,349,578"
Neemias Queta,"$2,349,578"
A.J. Green,"$2,301,587"
Vince Williams Jr.,"$2,301,587"
Keon Ellis,"$2,301,587"
Ryan Kalkbrenner,"$2,296,274"
Sion James,"$2,296,274"
Danté Exum,"$2,296,274"
Anthony Gill,"$2,296,274"
Chris Boucher,"$2,296,274"
Chris Paul,"$2,296,274"
Garrett Temple,"$2,296,274"
Bismack Biyombo,"$2,296,274"
Lindy Waters III,"$2,296,274"
Jordan McLaughlin,"$2,296,274"
Russell Westbrook,"$2,296,274"
Doug McDermott,"$2,296,274"
Drew Eubanks,"$2,296,274"
Blake Wesley,"$5,643,732"
Cole Anthony,"$5,996,274"
Amir Coffey,"$2,296,274"
Collin Gillespie,"$2,296,274"
Kyle Lowry,"$2,296,274"
Mason Plumlee,"$3,022,108"
Landry Shamet,"$2,296,274"
Jordan Clarkson,"$12,947,835"
Bones Hyland,"$2,296,274"
Joe Ingles,"$2,296,274"
Thanasis Antetokounmpo,"$2,296,274"
Eric Gordon,"$2,296,274"
Josh Okogie,"$2,296,274"
Jeff Green,"$2,296,274"
Aaron Holiday,"$2,296,274"
Jae'Sean Tate,"$2,296,274"
Gary Payton II,"$2,296,274"
Javonte Green,"$2,296,274"
Tim Hardaway Jr.,"$2,296,274"
Bruce Brown,"$2,296,274"
Marvin Bagley III,"$2,296,274"
Thomas Bryant,"$2,296,274"
Larry Nance Jr.,"$2,296,274"
Keaton Wallace,"$2,296,274"
Jock Landale,"$2,296,274"
Scotty Pippen Jr.,"$2,270,735"
JD Davison,"$2,270,735"
Brandon Williams,"$2,270,735"
Moussa Diabaté,"$2,270,735"
DeAndre Jordan,"$2,269,880"
Toumani Camara,"$2,221,677"
Rayan Rupert,"$2,353,647"
Julian Phillips,"$2,221,677"
GG Jackson II,"$2,221,677"
Gui Santos,"$2,221,677"
Jalen Pickett,"$2,221,677"
Hunter Tyson,"$2,221,677"
Jalen Wilson,"$2,221,677"
Jordan Walsh,"$2,221,677"
Trayce Jackson-Davis,"$2,221,677"
Andre Jackson Jr.,"$2,221,677"
Craig Porter Jr.,"$2,221,677"
