season,age,seasontype,team_id,team_alias,team_alias_all,player_id,player_name,pos_text,gp,roster_games,start,mp,rookie_year,inches,weight,mpg,off,def,tot,ewins,usg,tspct,efg,fgpct_rim,fgpct_mid,fg2pct,fg3pct,ftpct,orbpct,drbpct,astpct,topct,stlpct,blkpct,fga_rim_75,fga_mid_75,fg3a_75,fta_75,fga_75
2026,26,2,1610612765,"DET","DET",1630194,"Paul Reed","C",56,73,8,743.453,2020,81,210,13.2679,0.666738,2.31899,2.98573,3.01141,0.197504,0.628571,0.616906,0.739645,0.4,0.635246,0.323529,0.630952,0.174652,0.196672,0.126506,0.134615,0.0307495,0.0656635,8.15112,3.61736,1.63987,4.05145,13.4084
2026,21,2,1610612757,"POR","POR",1642270,"Donovan Clingan","C",69,74,69,1879.96,2024,86,280,27.2319,2.06305,0.900209,2.96326,7.69028,0.165439,0.608417,0.585761,0.663866,0.333333,0.629073,0.3379,0.678947,0.173151,0.28481,0.115207,0.108142,0.0104114,0.0553151,6.76307,0.795655,4.14878,3.59939,11.7075
2026,26,2,1610612738,"BOS","BOS",1629674,"Neemias Queta","C",68,72,67,1711.72,2021,84,248,25.1618,0.458331,2.46852,2.92685,6.7712,0.147524,0.660749,0.638636,0.71988,0.411765,0.647465,0,0.701299,0.133421,0.220732,0.0853859,0.122837,0.0168839,0.0507974,7.42397,2.28086,0.134168,3.44365,9.839
2026,36,2,1610612739,"CLE","CLE,LAC",201935,"James Harden","PG",63,71,63,2212.88,2009,77,220,35.1111,4.25573,-1.39787,2.85785,8.53161,0.282941,0.623766,0.530214,0.593023,0.397541,0.498008,0.374046,0.884536,0.0212418,0.141098,0.348998,0.157311,0.0158305,0.0111301,4.3067,4.073,8.74694,8.09593,17.1266
2026,21,2,1610612759,"SAS","SAS",1642264,"Stephon Castle","SG",61,73,60,1807.9,2024,78,215,29.623,0.980801,1.86791,2.84871,7.29352,0.248383,0.569161,0.513067,0.612583,0.411483,0.530333,0.314815,0.735043,0.0500916,0.128848,0.339314,0.179535,0.0192004,0.00873786,5.96367,4.12717,4.2654,6.93128,14.3562
2026,27,2,1610612739,"CLE","CLE",1628386,"Jarrett Allen","C",51,73,51,1404.4,2017,81,243,27.5294,1.47957,1.32639,2.80596,5.51777,0.192931,0.658703,0.637214,0.743243,0.485714,0.647558,0.1,0.719457,0.110099,0.23,0.0967099,0.105344,0.0169549,0.0282413,7.50253,4.43562,0.253464,5.60155,12.1916
2026,29,2,1610612752,"NYK","NYK",1628973,"Jalen Brunson","PG",68,74,68,2378.7,2018,74,190,34.9706,4.03812,-1.28908,2.74904,9.54279,0.296612,0.587574,0.530448,0.59276,0.490769,0.516648,0.369919,0.846939,0.0135514,0.0944471,0.300132,0.0950957,0.0107239,0.00343053,3.39582,9.98771,7.55993,6.02336,20.9435
2026,24,2,1610612761,"TOR","TOR",1630567,"Scottie Barnes","PF",70,72,70,2376.56,2021,80,237,33.9429,0.819321,1.91546,2.73478,9.09652,0.230213,0.576271,0.533267,0.667568,0.459207,0.555695,0.298077,0.832061,0.0666037,0.193687,0.236553,0.141654,0.0197195,0.0426045,5.63109,6.52902,3.16558,3.98742,15.3257
2026,28,2,1610612752,"NYK","NYK",1628384,"OG Anunoby","PF",60,74,60,1994.13,2017,79,240,33.2333,1.21384,1.44499,2.65883,7.89617,0.197034,0.617322,0.582759,0.681818,0.290698,0.591398,0.382436,0.812183,0.044658,0.128191,0.0916667,0.124731,0.0238095,0.0214176,5.21898,1.56934,6.44161,3.59489,13.2299
2026,35,2,1610612755,"PHI","PHI",202331,"Paul George","SF",28,73,28,850.368,2010,80,230,30.3571,1.25606,1.38395,2.64001,3.24554,0.225162,0.563882,0.523936,0.553571,0.432836,0.468421,0.387097,0.855263,0.0197775,0.170185,0.179002,0.097561,0.025186,0.0150538,2.41379,5.77586,8.01724,3.27586,16.2069
2026,24,2,1610612753,"ORL","ORL",1630532,"Franz Wagner","PF",28,73,26,891.078,2021,82,220,31.8214,1.83395,0.765001,2.59895,3.37615,0.253547,0.587945,0.528037,0.6,0.413534,0.520767,0.365217,0.841176,0.0514429,0.15444,0.179396,0.0866426,0.0158562,0.00868726,7.109,5.25276,4.54186,6.71406,16.9036
2026,26,2,1610612756,"PHX","PHX",1631221,"Collin Gillespie","PG",72,73,53,2080.43,2023,73,195,28.8889,2.0794,0.483117,2.56252,7.83112,0.185515,0.596633,0.573281,0.515625,0.434066,0.455285,0.419048,0.869048,0.0403101,0.125926,0.233838,0.125409,0.0217958,0.00648148,1.12994,3.21328,9.26907,1.48305,13.6123
2026,23,2,1610612760,"OKC","OKC",1642349,"Ajay Mitchell","SG",50,73,14,1306.56,2024,76,190,26.12,0.133111,2.38661,2.51972,4.88028,0.217054,0.590604,0.538318,0.621622,0.479167,0.549072,0.341772,0.876712,0.0304613,0.110488,0.191444,0.113095,0.0240437,0.0118577,5.01446,5.20419,4.28262,3.95735,14.5013
2026,28,2,1610612759,"SAS","SAS",1628368,"De'Aaron Fox","PG",63,73,63,1971.09,2017,75,185,31.2857,2.36059,0.1443,2.50489,7.46068,0.245441,0.579922,0.550325,0.666667,0.508772,0.572917,0.341954,0.765487,0.0209482,0.104987,0.291852,0.123826,0.0180952,0.00762332,4.19255,6.12757,6.23507,4.04921,16.5552
2026,29,2,1610612756,"PHX","PHX",1626164,"Devin Booker","SG",57,73,57,1911.03,2015,77,206,33.5263,2.48232,-0.0513351,2.43098,7.02335,0.306587,0.581059,0.5,0.613861,0.466919,0.507524,0.322086,0.870824,0.0245714,0.105047,0.288756,0.128062,0.0118477,0.00850851,3.78561,9.91379,6.10945,8.41454,19.8088
2026,22,2,1610612745,"HOU","HOU",1641708,"Amen Thompson","SG",70,72,70,2609.82,2023,79,200,37.2714,1.09508,1.28547,2.38056,9.37232,0.195556,0.589707,0.537459,0.672691,0.393651,0.564576,0.222222,0.775449,0.0905953,0.142797,0.201754,0.140422,0.0191324,0.0153685,7.10346,4.49315,1.54051,4.76417,13.1371
2026,26,2,1610612761,"TOR","TOR",1630193,"Immanuel Quickley","PG",67,72,67,2173.89,2020,74,190,32.4328,2.28159,0.0957539,2.37734,7.80214,0.210043,0.58,0.542889,0.64,0.472973,0.522565,0.374194,0.82439,0.0184615,0.123824,0.260531,0.0930233,0.0194457,0.00219202,2.09732,4.96644,7.80201,3.4396,14.8658
2026,24,2,1610612753,"ORL","ORL",1630591,"Jalen Suggs","PG",48,73,47,1301.84,2021,77,205,27.1042,0.525089,1.84847,2.37356,4.73392,0.225755,0.559524,0.524954,0.664,0.467213,0.566802,0.326531,0.841121,0.0264505,0.130623,0.276736,0.171831,0.0313175,0.0249307,3.37109,3.29018,7.9288,2.88565,14.5901
2026,27,2,1610612751,"BKN","BKN",1629008,"Michael Porter Jr.","SF",52,73,52,1688.49,2019,82,218,32.4615,3.69039,-1.36302,2.32737,6.08711,0.295015,0.606455,0.555324,0.741803,0.379913,0.566596,0.362887,0.859031,0.0456349,0.218155,0.165971,0.105172,0.0161908,0.00693703,5.35244,5.0234,10.6391,4.97953,21.0149
2026,22,2,1610612737,"ATL","ATL",1630700,"Dyson Daniels","SG",69,73,69,2288.93,2022,79,199,33.1594,0.0758712,2.24069,2.31656,8.23497,0.158667,0.54261,0.528996,0.64467,0.454976,0.578512,0.156863,0.614679,0.0777301,0.143338,0.230682,0.142694,0.0271984,0.0113994,6.074,3.25283,1.57246,1.68037,10.8993
2026,23,2,1610612744,"GSW","GSW",1630541,"Moses Moody","SF",60,73,49,1540.16,2021,77,211,25.6667,0.498636,1.69844,2.19707,5.41655,0.176963,0.607679,0.575404,0.673469,0.341463,0.522222,0.400531,0.769912,0.0355401,0.103978,0.0925401,0.0868902,0.0179234,0.0198366,2.27343,1.90226,8.74575,2.6214,12.9214
2026,25,2,1610612752,"NYK","NYK",1630540,"Miles McBride","SG",35,74,14,980.65,2021,74,195,28,1.64514,0.524779,2.16992,3.47782,0.172662,0.593421,0.574586,0.564103,0.4125,0.462185,0.419753,0.813953,0.0231579,0.0792541,0.135475,0.0686275,0.0146169,0.00630252,1.46837,3.01205,9.1491,1.61898,13.6295
2026,28,2,1610612757,"POR","POR",1629057,"Robert Williams III","C",51,74,1,865.803,2018,81,249,16.9608,-0.571837,2.736,2.16417,3.0671,0.13137,0.732068,0.731651,0.772727,0.619048,0.756345,0.333333,0.622222,0.157289,0.287129,0.0909091,0.156584,0.0169306,0.0776892,7.24479,0.864435,0.864435,1.85236,8.97366
2026,24,2,1610612739,"CLE","CLE",1630596,"Evan Mobley","C",58,73,56,1878.79,2021,83,215,32.3793,1.06544,1.06084,2.12628,6.5175,0.221332,0.593998,0.576623,0.722071,0.436274,0.619965,0.301508,0.605263,0.0815376,0.216937,0.167328,0.11167,0.0114855,0.0531328,7.05227,3.92006,3.82398,5.11145,14.7963
2026,29,2,1610612740,"NOP","NOP",1627749,"Dejounte Murray","PG",12,74,12,333.205,2016,76,180,27.75,1.14938,0.972429,2.12181,1.17069,0.275288,0.591954,0.537975,0.534884,0.603448,0.574257,0.315789,0.857143,0.0103093,0.20979,0.337662,0.190698,0.0290698,0.00566572,4.66715,6.29522,6.18669,4.55861,17.1491
2026,35,2,1610612757,"POR","POR",201950,"Jrue Holiday","PG",45,74,43,1299.84,2009,76,220,28.8667,1.53854,0.582337,2.12087,4.56607,0.225532,0.574434,0.550687,0.645833,0.426667,0.534014,0.378472,0.811765,0.0495935,0.120472,0.312292,0.167116,0.0172538,0.00424028,3.86819,4.02937,7.73639,2.28331,15.634
2026,29,2,1610612738,"BOS","BOS",1627759,"Jaylen Brown","SF",65,72,65,2228.07,2016,78,223,34.2769,2.33078,-0.236146,2.09464,7.5762,0.351326,0.575202,0.521693,0.678284,0.438623,0.524496,0.342466,0.8,0.0380571,0.179596,0.258833,0.126493,0.0144605,0.0111607,6.21943,11.1383,6.08604,8.00356,23.4438
2026,27,2,1610612764,"WAS","ATL,WAS",1629027,"Trae Young","PG",15,75,15,383.762,2018,74,164,25.5333,3.79581,-1.73143,2.06438,1.35122,0.262448,0.621495,0.533898,0.694444,0.47541,0.556701,0.3375,0.819149,0.0108108,0.0762463,0.43956,0.15415,0.0141176,0.00662252,3.15421,5.34463,7.00935,8.23598,15.5082
2026,25,2,1610612740,"NOP","NOP",1630530,"Trey Murphy III","SF",64,74,64,2272.52,2021,80,206,35.5,2.69204,-0.68167,2.01037,7.81065,0.225437,0.617988,0.574219,0.711268,0.365591,0.574468,0.382671,0.883333,0.0301147,0.14703,0.15979,0.0936239,0.0205193,0.00914001,4.45141,2.91536,8.68339,3.76176,16.0502
2026,29,2,1610612752,"NYK","NYK",1628969,"Mikal Bridges","SF",74,74,74,2469.01,2018,78,209,33.3649,0.727775,1.24586,1.97363,8.53508,0.172901,0.585221,0.56648,0.730594,0.447552,0.570297,0.374359,0.825581,0.0327208,0.0991552,0.162422,0.0757727,0.0193638,0.0241935,3.26931,4.26951,5.82205,1.28384,13.3609
2026,28,2,1610612750,"MIN","MIN",1628978,"Donte DiVincenzo","PG",73,73,73,2257.28,2018,76,203,30.9178,1.12531,0.844057,1.96937,7.59079,0.164019,0.575738,0.557278,0.543103,0.423729,0.502857,0.382716,0.76087,0.0325,0.116183,0.168391,0.122748,0.0208597,0.0106829,1.83274,0.932168,8.95829,1.45355,11.7232
2026,32,2,1610612764,"WAS","DAL,WAS",203076,"Anthony Davis","C",20,73,20,625.807,2012,82,253,31.25,0.280145,1.62102,1.90116,2.07558,0.274882,0.554795,0.520958,0.655844,0.405594,0.535354,0.27027,0.721519,0.112319,0.272727,0.14,0.100985,0.0169361,0.0421995,8.83703,8.20582,2.12318,4.53328,19.166
2026,33,2,1610612750,"MIN","MIN",203497,"Rudy Gobert","C",70,73,70,2200.1,2013,85,258,31.4286,-0.677819,2.57156,1.89374,7.28589,0.127845,0.666667,0.691111,0.718447,0.441176,0.697309,0,0.524476,0.140333,0.248939,0.0742115,0.14095,0.0119177,0.0464102,6.72763,0.555193,0.0653168,4.67015,7.34814
2026,32,2,1610612748,"MIA","MIA",1626181,"Norman Powell","SG",54,73,51,1628.61,2015,76,215,30.1481,2.17377,-0.302746,1.87102,5.36831,0.264989,0.620476,0.559929,0.619048,0.459716,0.546436,0.384021,0.823333,0.0126662,0.111111,0.12602,0.0996276,0.0177415,0.00702323,5.2956,4.43402,8.15354,6.30429,17.8832
2026,30,2,1610612756,"PHX","PHX",1628960,"Grayson Allen","SG",45,73,26,1334.94,2018,75,198,29.6444,2.20681,-0.35687,1.84994,4.38123,0.234537,0.571852,0.528502,0.680851,0.366337,0.517949,0.355609,0.854167,0.0245253,0.0911481,0.214368,0.0963855,0.0228698,0.00856531,2.57864,2.77067,11.4941,3.95026,16.8435
2026,24,2,1610612760,"OKC","OKC",1631114,"Jalen Williams","PF",28,73,28,799.735,2022,77,211,28.5357,0.675933,1.1368,1.81273,2.60458,0.260916,0.549199,0.503866,0.631579,0.409639,0.515723,0.3,0.824074,0.0270655,0.14267,0.272232,0.108163,0.0195614,0.0107784,6.77362,7.3975,3.11943,4.81283,17.2906
2026,23,2,1610612766,"CHA","CHA",1631217,"Moussa Diabate","C",65,73,39,1690.47,2022,82,210,26,0.906237,0.900484,1.80672,5.49866,0.11644,0.644089,0.628012,0.672727,0.4,0.627273,0.5,0.658385,0.172585,0.216288,0.0971026,0.138004,0.0152493,0.036413,6.11111,1.22222,0.0444444,3.57778,7.37778
2026,29,2,1610612739,"CLE","CLE",1630241,"Sam Merrill","SF",47,73,35,1238.67,2020,76,205,26.3404,2.46047,-0.658201,1.80227,4.02534,0.169646,0.663067,0.643349,0.795918,0.382979,0.59375,0.438235,0.854839,0.0241503,0.0839965,0.116379,0.0795229,0.0104936,0.00511322,1.42221,1.36416,9.86842,1.79954,12.6548
2026,25,2,1610612759,"SAS","SAS",1630170,"Devin Vassell","SG",58,73,56,1772.14,2020,77,200,30.5517,1.54103,0.259017,1.80005,5.8644,0.178335,0.587019,0.552352,0.558824,0.502347,0.516014,0.386243,0.811966,0.0198845,0.111628,0.10847,0.0702918,0.0128928,0.0105012,1.37023,4.29205,7.61687,2.3576,13.2792
2026,24,2,1610612759,"SAS","SAS",1630577,"Julian Champagnie","SF",73,73,59,2023.48,2022,79,217,27.7123,1.22826,0.550944,1.7792,6.62512,0.146956,0.627709,0.579077,0.72549,0.319149,0.597315,0.382096,0.84375,0.0361111,0.183789,0.0687697,0.0926966,0.0134118,0.013986,1.79958,0.829217,8.08045,2.25829,10.7092
2026,27,2,1610612737,"ATL","ATL",1629638,"Nickeil Alexander-Walker","PG",70,73,63,2316,2019,77,205,33.0857,1.73861,0.0209843,1.75959,7.45949,0.234065,0.60101,0.551869,0.595318,0.4,0.514735,0.390374,0.90146,0.0217291,0.0900187,0.155246,0.108777,0.0178536,0.013683,4.47159,3.14058,8.38983,4.09771,16.002
2026,28,2,1610612746,"LAC","LAC",1627884,"Derrick Jones Jr.","PF",41,73,36,1127.92,2016,78,210,27.4878,-0.0333691,1.64065,1.60728,3.5166,0.149728,0.626062,0.586687,0.693333,0.324324,0.620321,0.360294,0.759036,0.0479666,0.0905392,0.0697954,0.0854922,0.0174444,0.0341186,4.87224,1.20182,4.4175,2.69597,10.4916
2026,27,2,1610612753,"ORL","ORL",1630217,"Desmond Bane","SG",73,73,73,2498.3,2020,78,215,34.2192,1.81978,-0.218744,1.60103,7.77857,0.225995,0.615257,0.554487,0.606138,0.457413,0.539548,0.388021,0.925424,0.0391982,0.0963855,0.19214,0.107328,0.0143843,0.0111032,5.61997,4.55634,5.51936,4.24013,15.6957
2026,24,2,1610612762,"UTA","UTA",1631117,"Walker Kessler","C",5,73,5,153.98,2022,86,245,30.6,1.23029,0.347375,1.57767,0.476989,0.167582,0.788889,0.783784,0.681818,0.714286,0.689655,0.75,0.722222,0.174242,0.205298,0.154639,0.262295,0.0223642,0.0592105,5.37459,1.7101,1.9544,4.39739,9.03909
