Player,ewins,team_alias,pos_text,age,mpg,2025-26,production_value,diff
Grant Williams,1.54119,CHA,PF,27,19.4333,13645500,5856522.0,-7788978.0
Alex Caruso,2.70718,OKC,SF,31,18.3846,18102000,10287284.0,-7814716.0
Steven Adams,1.6378,HOU,C,32,22.8125,14130434,6223640.0,-7906794.0
Jericho Sims,-1.43791,MIL,C,27,18.1864,2461463,-5464058.0,-7925521.0
Lonzo Ball,0.539215,CLE,SG,28,20.7714,10000000,2049017.0,-7950983.0
Drake Powell,-1.22201,BKN,SG,20,20.1228,3372240,-4643638.0,-8015878.0
Ben Saraf,-1.35373,BKN,SG,19,19.5263,2884560,-5144174.0,-8028734.0
Josh Green,1.47754,CHA,SF,25,16.3137,13666667,5614652.0,-8052015.0
Rayan Rupert,-1.50128,MEM,SF,21,15.45,2353647,-5704864.0,-8058511.0
Rayan Rupert,-1.50128,MEM,SF,21,15.45,2353647,-5704864.0,-8058511.0
Ivica Zubac,2.83212,IND,C,28,30.125,18893980,10762056.0,-8131924.0
Will Riley,-1.21811,WAS,SF,19,20.6212,3512520,-4628818.0,-8141338.0
Ousmane Dieng,-0.407546,MIL,SF,22,17.0204,6670882,-1548674.8,-8219556.8
Bobby Portis,1.33679,MIL,PF,30,24.1642,13445754,5079802.0,-8365952.0
Jaden Ivey,0.435976,CHI,SG,23,18.4324,10107163,1656708.7999999998,-8450454.2
Scoot Henderson,0.599906,POR,PG,21,23.5833,10748040,2279642.8000000003,-8468397.2
De'Aaron Fox,7.52873,SAS,PG,28,31.1094,37096620,28609174.0,-8487446.0
Klay Thompson,2.14311,DAL,SG,35,21.8438,16666667,8143818.0,-8522849.0
Jeremy Sochan,-0.188787,NYK,PF,22,10.575,7874853,-717390.6000000001,-8592243.6
Jeremy Sochan,-0.188787,NYK,PF,22,10.575,7874853,-717390.6000000001,-8592243.6
Collin Sexton,2.71217,CHI,SG,27,23.0,18975000,10306246.0,-8668754.0
Cam Thomas,-0.486185,MIL,SG,24,20.9524,6837779,-1847503.0,-8685282.0
Cam Thomas,-0.486185,MIL,SG,24,20.9524,6837779,-1847503.0,-8685282.0
Matisse Thybulle,0.740396,POR,SG,28,13.72,11550000,2813504.8000000003,-8736495.2
Kevin Huerter,2.39277,DET,SG,27,22.1613,17991071,9092526.0,-8898545.0
Jeremiah Fears,-0.367639,NOP,PG,19,24.8553,7520040,-1397028.2,-8917068.2
Luguentz Dort,2.41984,OKC,SF,26,27.4355,18222222,9195392.0,-9026830.0
Jakob Poeltl,2.73227,TOR,C,30,25.5789,19500000,10382626.0,-9117374.0
